Valuation,Industry,Country,Year Founded,Funding,ROI
4000,8,44,2011,468,3532
4000,4,44,2017,505,3495
4000,11,44,2017,542,3458
4000,9,44,2017,381,3619
4000,11,44,2014,434,3566
4000,11,44,2013,643,3357
4000,1,44,2014,1000,3000
4000,6,16,2011,948,3052
4000,11,44,2016,294,3706
4000,11,44,2016,435,3565
4000,10,17,1919,0,4000
4000,11,44,2011,489,3511
4000,2,9,2017,1000,3000
4000,5,44,2017,352,3648
4000,7,44,2006,477,3523
4000,11,44,2001,125,3875
4000,6,44,2012,404,3596
4000,4,44,2012,498,3502
4000,6,44,2015,493,3507
4000,10,44,2006,657,3343
4000,11,44,2016,440,3560
4000,13,44,2017,792,3208
4000,11,19,2015,1000,3000
4000,6,16,2019,739,3261
4000,5,44,2016,263,3737
4000,7,44,2015,2000,2000
4000,6,44,2017,603,3397
4000,8,44,2018,324,3676
4000,11,44,2015,379,3621
4000,8,44,2014,367,3633
4000,5,44,2016,414,3586
4000,11,44,2012,350,3650
4000,10,44,1995,1000,3000
4000,13,44,2016,1000,3000
4000,6,44,2016,495,3505
4000,11,44,2012,664,3336
4000,8,2,2014,546,3454
4000,1,44,2009,1000,3000
4000,14,44,2015,864,3136
4000,10,9,2014,761,3239
4000,2,9,2014,2000,2000
4000,11,44,2013,523,3477
4000,12,44,2014,667,3333
4000,11,21,2011,250,3750
4000,9,44,2016,720,3280
4000,11,44,2017,535,3465
4000,12,44,2020,110,3890
4000,13,44,2014,870,3130
4000,6,44,2008,614,3386
4000,1,9,2011,1000,3000
4000,8,44,2018,504,3496
4000,8,44,2016,881,3119
4000,11,44,2012,856,3144
4000,11,44,2013,413,3587
4000,11,7,2000,230,3770
4000,5,44,2014,553,3447
4000,6,44,2015,445,3555
4000,11,44,2012,335,3665
4000,8,44,2021,450,3550
4000,11,44,2011,1,3999
3000,13,9,2006,154,2846
3000,14,36,2014,770,2230
3000,6,34,2015,471,2529
3000,1,44,2015,1000,2000
3000,8,19,2010,54,2946
3000,13,42,2004,418,2582
3000,12,9,2011,775,2225
