Valuation,Industry,Country,Year Founded,Funding,ROI
1000,12,11,2006,200,800
1000,8,44,2018,17,983
1000,1,9,2014,173,827
1000,8,44,2005,135,865
1000,7,22,2011,92,908
1000,14,42,2018,504,496
1000,7,9,2014,306,694
1000,3,20,2017,333,667
1000,6,9,2011,130,870
1000,11,44,2021,143,857
1000,11,44,2019,205,795
1000,10,21,2015,263,737
1000,6,19,2015,489,511
1000,10,9,2014,253,747
1000,9,44,2014,299,701
1000,4,44,2007,282,718
1000,8,16,2011,263,737
1000,6,6,2009,336,664
1000,12,9,2013,300,700
1000,10,44,2017,265,735
1000,8,44,2017,110,890
1000,10,44,2014,202,798
1000,11,44,2007,325,675
1000,1,16,2016,293,707
1000,13,19,2021,218,782
1000,6,9,2011,232,768
1000,5,44,2014,126,874
1000,3,9,2012,252,748
1000,11,9,2015,144,856
1000,1,9,2016,1000,0
1000,11,44,2014,91,909
1000,12,6,1998,588,412
1000,11,44,2015,174,826
1000,13,44,2012,463,537
1000,6,9,2016,655,345
1000,11,44,2015,151,849
1000,11,44,2013,172,828
1000,8,34,2014,285,715
1000,11,19,2014,424,576
1000,4,44,2020,220,780
1000,8,39,1999,105,895
1000,10,44,2011,449,551
1000,15,17,2013,396,604
1000,11,34,2011,515,485
1000,11,44,2012,223,777
1000,9,9,2013,200,800
1000,10,44,2016,192,808
1000,8,44,2017,252,748
1000,0,44,2016,254,746
1000,11,44,2016,51,949
1000,3,44,2016,60,940
1000,11,34,2007,352,648
1000,8,43,2018,239,761
1000,4,22,2015,190,810
1000,6,1,2011,125,875
1000,12,44,2011,195,805
1000,11,44,2020,100,900
1000,1,44,2016,166,834
1000,13,24,2020,140,860
1000,8,43,2006,370,630
1000,13,44,2016,130,870
1000,5,44,2015,226,774
1000,7,44,2005,62,938
1000,11,44,2015,273,727
1000,3,17,2020,167,833
1000,13,44,2000,250,750
1000,14,44,2015,2000,-1000
1000,4,44,2007,330,670
1000,13,32,2015,15,985
1000,3,44,2016,484,516
1000,8,43,2019,1000,0
1000,6,44,2018,310,690
1000,8,23,2019,416,584
1000,14,39,2009,273,727
1000,13,44,2011,127,873
1000,1,44,2015,328,672
1000,1,16,2014,545,455
1000,14,44,2014,331,669
1000,14,44,2013,154,846
1000,8,44,2018,163,837
1000,1,44,2011,157,843
1000,14,44,2014,340,660
1000,8,19,2015,249,751
1000,8,44,2012,161,839
1000,11,44,2003,255,745
1000,11,44,2006,371,629
1000,1,44,2019,135,865
1000,11,44,2017,172,828
1000,1,44,2005,215,785
1000,11,44,2006,114,886
1000,1,44,2017,239,761
1000,4,44,2020,126,874
1000,8,16,2016,326,674
1000,12,44,2009,376,624
1000,6,44,2010,336,664
1000,1,7,2016,235,765
1000,9,9,2015,623,377
1000,11,9,2015,151,849
1000,6,44,2012,257,743
1000,10,44,1993,210,790
1000,8,43,2014,403,597
1000,11,44,2015,181,819
1000,1,43,2014,120,880
1000,8,44,2011,51,949
1000,10,44,2014,156,844
1000,8,43,2016,271,729
1000,1,6,2007,237,763
1000,11,44,2009,163,837
1000,7,19,2014,292,708
1000,11,44,2008,585,415
1000,8,44,2016,128,872
1000,11,7,2010,217,783
1000,15,38,2018,516,484
1000,11,44,2011,308,692
1000,11,44,2012,187,813
1000,11,44,2019,70,930
1000,11,44,2017,200,800
1000,8,18,2013,871,129
1000,6,9,2009,330,670
1000,8,44,2018,131,869
1000,8,20,2014,215,785
1000,11,9,2015,200,800
1000,14,9,1997,182,818
1000,11,44,2008,492,508
1000,7,9,2011,389,611
1000,6,9,2012,379,621
1000,6,9,2015,990,10
1000,3,9,2018,80,920
1000,8,43,2005,792,208
1000,6,44,2014,620,380
